Feature,Instance,X,Y
A,1,2395.04,3833.28
A,2,688.63,1572.06
A,3,1221.2,496.55
A,4,4218.26,3764.23
A,5,2742.94,2126.72
A,6,2467.97,2443.89
A,7,2605.63,4256.59
A,8,3126.88,4306.51
A,9,1956.58,1537.42
A,10,1417.4,1424.85
A,11,3923.65,2920.74
A,12,826.94,4048.43
A,13,3506.68,2793.5
A,14,2529.8,3470.7
A,15,4906.24,2884.57
A,16,3841.81,2563.11
A,17,2285.05,904.99
A,18,1364.44,4065.26
A,19,1465.81,776.91
A,20,3877.78,3894.23
A,21,2725.1,984.06
A,22,2645.04,935.38
A,23,3019.87,751.54
A,24,3457.55,2315.99
A,25,4095.34,4585.02
A,26,3656.95,3012.01
A,27,2170.13,4276.69
A,28,4094.66,91.38
A,29,972.5,3973.91
A,30,2145.72,4244.55
A,31,1115.03,4569.36
A,32,3975.66,871.16
A,33,976.51,4623.04
A,34,4442.78,4004.52
A,35,1436.87,1211.91
A,36,3971.58,2784.32
A,37,3680.81,2350.73
A,38,1902.97,1281.72
A,39,2647.93,2167.34
A,40,3265.29,4956.1
A,41,1086.52,4971.58
A,42,4849.62,2698.71
A,43,3529.35,4217.03
A,44,2889.84,769.71
A,45,3453.55,627.39
A,46,1676.17,4799.36
A,47,4559.15,957.68
A,48,1251.67,366.59
A,49,2115.15,4675.45
A,50,4215.9,332.41
A,51,702.83,1515.13
A,52,776.37,3987.55
A,53,2349.49,1939.73
A,54,3265.27,2287.74
A,55,838.99,4134.3
A,56,2457.46,1944.96
A,57,545.41,1784.84
A,58,3148.91,1189.83
A,59,3601.69,2974.98
A,60,901.82,2499.85
A,61,1838.77,1615.2
A,62,765.92,3877.99
A,63,4620.53,1114.91
A,64,1625.94,46.52
A,65,2337.56,4505.75
A,66,2388.71,4005.57
A,67,4376.09,693.84
A,68,3217.19,153.18
A,69,1240.28,3038.11
A,70,414.27,411.69
A,71,4399.65,4505.88
A,72,2448.36,3231.9
A,73,2519.94,1860.73
A,74,1695.59,4625.42
A,75,1610.15,4652.05
A,76,3233.6,3969.72
A,77,232.93,4797.3
A,78,2226.4,1421.37
A,79,204.16,1177.43
A,80,2240.45,4232.42
A,81,2429.23,1169.51
A,82,4815.33,2297.07
A,83,2134.13,3833.0
A,84,3657.64,678.89
A,85,3131.71,2986.59
A,86,2991.16,860.15
A,87,363.37,4470.6
A,88,179.45,2950.9
A,89,4749.66,3184.61
A,90,3646.97,2869.25
A,91,1506.94,819.77
A,92,3767.13,789.65
A,93,3694.18,3716.08
A,94,4728.43,1915.86
A,95,381.58,4953.48
A,96,4472.89,4123.99
A,97,3422.28,4332.02
A,98,1574.23,4764.21
A,99,973.15,4315.36
A,100,167.64,3026.21
A,101,4187.46,137.93
A,102,3069.2,4191.86
A,103,4005.18,747.63
