Feature,Instance,X,Y,Checkin
A,1,57841.960620000005,41624.61013,606
A,2,22493.29942,45160.27314,685
A,3,49879.972689999995,30706.63715,758
A,4,31684.728610000002,57552.072960000005,678
A,5,17065.8412,50460.87746,454
A,6,12646.52833,77091.62498,906
A,7,20886.57155,56772.64177,518
A,8,20395.64149,58182.00421,571
A,9,13646.77878,54049.288120000005,563
A,10,12086.594579999999,37636.092489999995,659
A,11,18041.40225,88036.36161,551
A,12,22782.93516,66092.5369,585
A,13,20587.17035,61126.37229,656
A,14,9661.665858,60826.949179999996,682
A,15,16323.01226,58860.92974,600
A,16,16445.785340000002,56311.81262999999,622
A,17,8954.0722,36705.513,574
A,18,42230.38341,49630.00172,595
A,19,22789.23443,61007.1332,470
A,20,42370.86847,63072.62251,545
A,21,20327.41406,48676.07782,653
A,22,25108.14825,45118.3401,666
A,23,21164.3163,39567.774730000005,452
A,24,21020.673619999998,63415.48224,575
A,25,20427.62541,46583.55757,505
A,26,21965.94499,86189.02437,598
A,27,19789.522409999998,34892.16771,537
A,28,29083.18135,64685.99227,727
A,29,25690.12561,80085.32148,375
A,30,31911.42662,41900.8559,635
A,31,27462.350810000004,49125.90302,620
A,32,22821.11508,91082.64982,545
A,33,27399.939360000004,48236.78879,465
A,34,22014.67823,38907.77197,478
A,35,4431.326314,32958.770280000004,513
A,36,29234.323780000002,44151.88641,678
A,37,20608.323969999998,90005.27682999999,391
A,38,12298.40494,70868.54934,665
A,39,28992.04079,91810.17982,732
A,40,12376.23353,58964.24207000001,634
A,41,26749.46386,35356.72794,767
A,42,36082.40773,51755.210810000004,555
A,43,9030.854232,60927.388020000006,718
A,44,26692.845540000002,63617.27319,647
A,45,14327.982719999998,77686.55077,625
A,46,15122.838919999998,77737.86167,694
A,47,15950.51505,78232.32635,287
A,48,26378.867469999997,51944.29377,410
A,49,34400.59306,56033.072029999996,603
A,50,48976.7206,100431.4916,607
A,51,48106.81559,85338.2012,523
A,52,11867.24827,74814.67728999999,652
A,53,24596.39202,75386.9158,600
A,54,23577.10465,65753.93173,659
A,55,25035.59314,77782.37864,779
A,56,14638.32906,35693.12787,645
A,57,27768.99915,49625.01207,572
A,58,23379.97484,40551.73672,524
A,59,22685.905619999998,56534.31951,552
A,60,22352.68325,63016.71178,640
A,61,38845.88997,88678.0987,654
A,62,35284.28112,49699.23301,308
A,63,8002.556833,64129.235029999996,561
A,64,32318.781260000003,44214.47969,598
A,65,40747.63767,39995.10198,594
A,66,52374.798780000005,82977.52107,521
A,67,24591.90419,61267.55245,627
A,68,17864.71296,49121.47026,521
A,69,28504.6732,54623.297510000004,526
A,70,30122.1309,50399.00812,582
A,71,34228.04178,40164.62732,532
A,72,6269.517035,58262.91884,595
A,73,35221.81768,50004.926589999995,662
A,74,12146.45077,42062.106,661
A,75,25090.87554,22383.5011,509
A,76,12692.99334,58724.39396,496
A,77,38889.59657,77534.44463,670
A,78,28023.22832,73196.81907,695
A,79,30552.02686,56870.74171,600
A,80,21977.60614,60835.06849,752
A,81,55446.775089999996,57816.869289999995,499
A,82,37245.98665,96261.25292,566
A,83,37814.42637,36339.92143,647
A,84,10395.973109999999,65585.89882999999,655
A,85,57728.86636,41406.5917,472
A,86,24026.96354,60589.65158,563
A,87,25751.776859999998,88214.02852,647
A,88,23722.33405,60173.17234,645
A,89,32059.97182,42124.39857,675
A,90,16224.254980000002,43015.46188,629
A,91,25503.6298,75579.85236,687
A,92,17833.83998,59267.2849,548
A,93,31591.79009,31583.92325,585
A,94,22471.4029,68949.26325,564
A,95,22436.77907,62908.33184,505
A,96,2601.6385649999997,37557.04898,743
A,97,42658.81654,84928.52704,665
A,98,23851.95548,55632.9762,488
A,99,44217.796780000004,12579.83339,526
A,100,14440.91214,66612.48439,509
A,101,18828.71572,69936.56651,683
A,102,14122.055030000001,59794.76141,666
A,103,4682.60101,34564.87833,671
A,104,32505.27188,41522.79023,516
A,105,18319.82026,35797.19756,552
A,106,26648.36793,53985.1133,590
A,107,25965.449080000002,77476.22842,549
A,108,17038.03214,58826.42547,733
A,109,31708.86352,53756.38051,536
A,110,42696.73515,27107.92421,795
A,111,48133.549680000004,64055.5487,628
A,112,20960.83602,90212.2579,667
A,113,31450.306039999996,87370.73436,464
A,114,20660.48315,69756.89482999999,682
A,115,49532.62177,30737.844689999998,553
A,116,19684.183719999997,70096.41328,554
A,117,31280.114589999997,88668.36445,551
A,118,46469.25516,71469.77901,660
A,119,21398.428780000002,60562.553810000005,505
A,120,23431.7855,62763.19784,612
A,121,27865.05609,55007.433170000004,641
A,122,36945.347969999995,41756.846789999996,680
A,123,35743.55848,67820.8912,547
A,124,15389.404419999999,70197.5872,768
A,125,16529.13308,64695.748810000005,740
A,126,22877.828419999998,60684.432510000006,560
A,127,24276.14161,67045.04632000001,476
A,128,19803.99556,19502.45025,528
A,129,43384.88272,47065.11378,558
A,130,19268.57912,54102.26967,618
A,131,30757.37545,56869.65022,448
A,132,18879.17901,64822.316439999995,656
A,133,27488.08483,84497.78053999999,778
A,134,43676.79107,31683.482210000002,594
A,135,19268.57912,54102.26967,467
A,136,16807.71223,46362.01967,611
A,137,37519.73843,42359.64686,548
A,138,17325.09997,85786.09959,815
A,139,63201.32327000001,45167.08935,567
A,140,22387.85107,69204.0246,644
A,141,29466.99675,47489.133160000005,567
A,142,21061.7709,63418.83465,579
A,143,19361.45949,35148.544010000005,491
A,144,25828.88329,60144.3928,608
A,145,27498.395539999998,89879.22152,432
A,146,22947.78099,58534.80981,643
A,147,22350.71964,52636.88512,486
A,148,21856.42482,68222.80246,682
A,149,18773.25958,57994.435970000006,480
A,150,42269.76952,81375.22207,630
A,151,25626.95811,25503.954569999998,474
A,152,42069.96892,23241.263,608
A,153,24059.0962,55649.716010000004,671
A,154,11279.32047,53856.429529999994,711
A,155,25028.40901,31702.583189999998,501
A,156,28101.06687,52101.33386,543
A,157,28218.3665,58854.492210000004,649
A,158,41673.26767,48183.96318,516
A,159,27725.86984,54712.286889999996,603
A,160,21373.64603,88671.70572,624
A,161,20419.5197,60534.53162,709
A,162,42554.85777,88532.83105,746
A,163,48141.6188,72062.82254,609
A,164,11126.61263,54179.252720000004,665
A,165,21283.05277,59731.96765,629
A,166,24881.236109999998,88101.61678,608
A,167,58726.39627999999,62497.93373,745
A,168,22352.68325,63016.71178,379
A,169,22267.24339,69117.97554,458
A,170,16562.45221,46209.74646,737
A,171,5840.967571,54902.41677999999,533
A,172,24822.64301,77942.69318999999,553
A,173,53235.95283,48135.26961,789
A,174,12835.02255,59934.14841,410
A,175,17118.18599,55270.1579,545
A,176,15529.30236,71330.13584,494
A,177,13098.22104,48918.64351,640
A,178,39982.59847,37468.794669999996,612
A,179,64528.99809,42446.063460000005,686
A,180,22185.950930000003,64121.90649,806
A,181,29129.588,44824.29644,607
A,182,32820.42268,30914.520360000002,635
A,183,18765.58092,62174.99916,660
A,184,21086.1724,67547.66371000001,627
A,185,21846.98487,64549.92427,616
A,186,14225.46599,34422.1055,505
A,187,33630.68542,48719.8263,529
A,188,33531.20021,60233.47128,512
A,189,41020.56396,110404.1946,601
A,190,12825.7557,46213.767139999996,584
A,191,4639.566537,44460.3087,685
A,192,12395.55645,76325.10227,553
A,193,10053.72467,66926.07453,703
A,194,19929.95923,26566.42546,614
A,195,29769.43693,50567.9543,534
A,196,33525.14763,43941.18538,755
A,197,11445.06112,60305.732,683
A,198,22239.00667,69397.30643,656
A,199,22860.82628,72830.21399,475
A,200,21122.52531,64037.96242999999,568
A,201,48978.47585,59667.05774,670
A,202,34594.27864,55212.03079,482
A,203,27368.87696,68429.05959,448
A,204,14733.83734,68532.69491,490
A,205,23298.8656,20498.93089,530
A,206,28166.705039999997,31073.576360000003,365
A,207,33708.25046,61130.11452,698
A,208,33809.78757,56271.47226,521
A,209,43184.659419999996,74699.91551,540
A,210,27855.252310000003,76274.43735,735
A,211,23610.45171,58430.01618,700
A,212,18327.460580000003,41661.330780000004,511
A,213,13978.36065,59909.72367000001,657
A,214,22544.84848,49637.75348,587
A,215,23320.66841,61186.99422000001,537
A,216,10455.44997,70907.43069,525
A,217,21617.898090000002,64592.380789999996,586
A,218,63351.59475,49171.11052,459
A,219,19048.49653,86946.8709,644
A,220,38360.67233,87791.78001,555
A,221,9018.491688,65741.11236,591
A,222,26767.20076,25581.049,526
A,223,38563.72485,38282.77468,466
A,224,20701.09481,70966.64928,562
A,225,21765.80306,57819.6871,544
A,226,24831.3819,54191.971860000005,632
A,227,9592.063557,67223.34808,489
A,228,29655.75264,70597.95032999999,641
A,229,19027.21026,32844.398310000004,691
